"Question","Answer","Category"
"KTO needs paired data?","No — learns from unpaired good/bad labels.","Alignment"
"ORPO special property?","Folds preference into SFT; no reference model.","Alignment"
"Constitutional AI replaces?","Human harmlessness labels with AI feedback (RLAIF) guided by a written constitution.","Alignment"
"Sycophancy is?","Telling users what they want to hear (raters rewarded agreement).","Alignment"
"Reward hacking is?","Optimizing the proxy reward, not the true objective.","Alignment"
"Prefill vs decode bound by?","Prefill = compute-bound; decode = memory-bandwidth-bound.","Inference & serving"
"TTFT set by?","Prefill (prompt processing).","Inference & serving"
"TPOT set by?","Decode (per-token generation).","Inference & serving"
"Why batch decode?","Amortize weight reads (bandwidth) across requests → more tok/s.","Inference & serving"
"Continuous batching?","Swap finished/new sequences each step instead of waiting for the batch.","Inference & serving"
"PagedAttention?","KV cache in fixed pages (like virtual memory) → no fragmentation, sharing.","Inference & serving"
"KV-cache bytes/token?","2·layers·kv_heads·d_head·bytes.","Inference & serving"
"Speculative decoding?","Small draft proposes k tokens, big model verifies in parallel; lossless ~2–3×.","Inference & serving"
"Weight-only INT8 quality?","~Lossless, ~½ memory/bandwidth.","Inference & serving"
"INT4 (GPTQ/AWQ)?","~4× smaller, small quality loss — eval after.","Inference & serving"
"Hardest thing to quantize?","Activations (outliers).","Inference & serving"
"Decode throughput rule?","≈ HBM_bandwidth / bytes_read_per_token.","Inference & serving"
"Prefix caching saves?","Re-using the KV of a shared prompt prefix → lower TTFT/cost.","Inference & serving"
"Disaggregated serving?","Separate prefill and decode pools (different bottlenecks).","Inference & serving"
"DP/DDP communicates?","All-reduce of gradients.","Distributed"
"Tensor parallel keep within?","A node (NVLink) — heavy communication.","Distributed"
"Pipeline parallel issue?","The ""bubble""; hide it with micro-batches.","Distributed"
"ZeRO stage 3 ≈?","FSDP — shards params too; per-GPU memory ≈ 1/N of states.","Distributed"
"ZeRO stage 1/2/3 shard?","1: optimizer states; 2: + grads; 3: + params.","Distributed"
"Ring all-reduce bytes/GPU?","~2× param bytes, independent of N.","Distributed"
"all-gather vs reduce-scatter?","Gather shards / reduce-then-split — FSDP fwd vs bwd.","Distributed"
"3D parallelism?","TP (in node) × PP (across nodes) × DP (replicas).","Distributed"
"all-to-all used by?","MoE expert routing.","Distributed"
"Why checkpoint often at scale?","Hardware failures are constant on 1000s of GPUs.","Distributed"
"RAG vs fine-tune for fresh facts?","RAG (fine-tune is for behavior, not knowledge).","RAG & retrieval"
"Biggest RAG quality levers?","Chunking + reranking.","RAG & retrieval"
"Why hybrid retrieval?","Dense misses exact terms; BM25 catches them — fuse (RRF).","RAG & retrieval"
"Cross-encoder reranker vs bi-encoder?","Joint query-doc scoring, far more accurate, used on top-k.","RAG & retrieval"
"Retrieval metrics?","recall@k, MRR, nDCG.","RAG & retrieval"
"Generation/RAG metric?","Faithfulness/groundedness + citation accuracy.","RAG & retrieval"
"HNSW vs IVF-PQ?","HNSW = high recall, more memory; IVF-PQ = compressed, disk-friendly.","RAG & retrieval"
"PQ does what?","Product quantization compresses vectors ~4–32× (approximate distances).","RAG & retrieval"
"ANN tuning dial in IVF?","nprobe — more probes = higher recall, more work.","RAG & retrieval"
"First RAG debugging step?","Check retrieval (is the right chunk in top-k?) before blaming generation.","RAG & retrieval"
"Lost-in-the-middle?","Long-context models under-use middle content; rerank/position matters.","RAG & retrieval"
"Agent vs workflow?","Agent = LLM controls flow (flexible, costly); workflow = you control flow (predictable).","Agents"
"ReAct loop?","Thought → Action (tool) → Observation → … → Answer.","Agents"
"Compounding error formula?","Success ≈ pⁿ over n steps.","Agents"
"#1 agent security threat?","(Indirect) prompt injection via tool/retrieved content.","Agents"
"Injection defense principle?","Treat tool output as data, not instructions + least privilege + approval.","Agents"
"MCP is?","Model Context Protocol — open standard to expose tools/data to models.","Agents"
"Multi-agent when worth it?","Parallelizable subtasks or strong separation of concerns.","Agents"
"Key agent guardrails?","Max steps, spend cap, sandboxing, human approval for high-impact tools.","Agents"
"Best tool-design lever?","Clear description + forgiving error messages (the agent–computer interface).","Agents"
"Orchestrator-workers pattern?","Planner decomposes → workers execute → synthesize.","Agents"
"Why a confidence interval on eval scores?","Finite samples — a 1–2 pt ""win"" can be noise.","Evaluations"
"pass@k unbiased estimator?","1 − C(n−c,k)/C(n,k).","Evaluations"
"LLM-as-judge top biases?","Position, verbosity, self-preference.","Evaluations"
"Fix position bias?","Average over both A/B orderings.","Evaluations"
"Validate a judge against?","Human labels (measure agreement).","Evaluations"
"Elo/Bradley-Terry used for?","Ranking models from pairwise preferences (Chatbot Arena).","Evaluations"
"Eval flywheel?","Prod logs → error analysis → new eval cases → fix → re-eval.","Evaluations"
"Code-gen benchmark?","HumanEval / SWE-bench.","Evaluations"
"Agent/tool benchmark?","τ-bench, GAIA, WebArena.","Evaluations"
"ECE measures?","Calibration — does confidence match accuracy.","Evaluations"
"Why not BLEU/ROUGE for quality?","Weak correlation with human judgment; prefer task metrics/judges.","Evaluations"
"Misuse vs misalignment?","Bad human use of a working model vs the model pursuing unintended goals.","Safety & alignment"
"Outer vs inner alignment?","Specifying the right objective vs the model internalizing it.","Safety & alignment"
"Anthropic RSP ties safeguards to?","Capability thresholds (ASL levels).","Safety & alignment"
"OpenAI equivalent?","Preparedness Framework (CBRN, cyber, persuasion, autonomy).","Safety & alignment"
"Scalable oversight problem?","Supervising tasks humans can't directly evaluate.","Safety & alignment"
"Debate (safety) is?","Two models argue; a judge decides — a scalable-oversight approach.","Safety & alignment"
"Weak-to-strong generalization?","Can a weak supervisor elicit a stronger model's full ability?","Safety & alignment"
"Dangerous-capability eval examples?","CBRN uplift, cyber-offense, autonomous replication.","Safety & alignment"
"Over-refusal is?","Rejecting benign requests — a real failure to measure too.","Safety & alignment"
"Superposition (interp)?","Models pack more features than neurons by overlapping them.","Safety & alignment"
"SAEs (interp) do?","Extract sparse, monosemantic features from activations.","Safety & alignment"
"Product safety strategy?","Defense-in-depth — layered filters, sandboxing, approval, monitoring.","Safety & alignment"
"Jailbreak response strategy?","Continuous red-team, train on found attacks, classifiers, fast patch.","Safety & alignment"
"bf16 bytes/param?","2.","Numbers to know cold"
"fp32 bytes/param?","4.","Numbers to know cold"
"7B model weights in bf16?","~14 GB.","Numbers to know cold"
"70B model weights in bf16?","~140 GB.","Numbers to know cold"
"Why 70B won't train on one 80GB GPU?","States ≈ 16–20 B/param ⇒ ~1.2–1.4 TB.","Numbers to know cold"
"Avg QPS from daily reqs?","daily / 86,400.","Numbers to know cold"
"Peak factor (typical)?","2–5× average.","Numbers to know cold"
"H100 HBM size / bandwidth (order)?","~80 GB, ~3.3 TB/s.","Numbers to know cold"
"Perplexity from loss?","ppl = exp(CE_loss).","Numbers to know cold"
"Random-init LM loss ≈?","ln(vocab_size).","Numbers to know cold"
"Bigger batch effect on latency/throughput?","↑ throughput, ↑ TPOT (latency).","One-liners on trade-offs"
"Quantization trade-off?","↓ memory/bandwidth (↑ speed) vs possible ↓ accuracy — eval it.","One-liners on trade-offs"
"Long context cost driver?","KV cache (linear in batch × length) + O(T²) attention.","One-liners on trade-offs"
"Model cascade benefit?","Most traffic on a cheap model; escalate only hard cases.","One-liners on trade-offs"
"Streaming benefit?","Lower perceived latency (user sees tokens at TTFT).","One-liners on trade-offs"
