#separator:Comma
#html:false
#columns:Front,Back,Tags
#tags column:3
"What is reward hacking and what guards against it?","Policy exploits RM flaws for high score without quality; guard with KL penalty, early stopping, stronger/ensembled RM, fresh data.",stage3 core
"DPO vs IPO vs KTO vs ORPO?","DPO needs paired prefs; IPO regularizes near-deterministic prefs; KTO needs only binary good/bad; ORPO merges SFT+pref in one stage (no ref).",stage3 core
"How do you pick LoRA r and alpha?","r sets capacity (8 light, 16-64+ for bigger shifts); alpha scales update (alpha/r), often alpha=2r; tune on validation and pick which matrices.",stage3 core
"Why can a few thousand clean SFT examples beat millions of noisy?","The base already knows language/facts; SFT mainly teaches format/behavior, which clean diverse data conveys; noise injects contradictory targets.",stage3 core
"1 GPU, preference data, safer assistant — method?","QLoRA SFT then DPO (not PPO): 4-bit base fits one GPU, DPO consumes pairs directly and is stable; eval win-rate + safety + capability tax.",stage3 senior
"DPO loss intuition and link to RLHF?","RLHF optimum gives implicit reward beta log(pi/pi_ref); plug into Bradley-Terry to raise preferred over rejected, anchored to the reference.",stage3 senior math
"Why does LoRA work (low rank)?","Fine-tuning has low intrinsic dimension — adaptation moves in a small subspace, so dW is approximately low-rank.",stage3 senior
"Why can QLoRA fine-tune a 7B on one GPU?","4-bit frozen base ~3.5 GB + small bf16 adapters + paged optimizer = a few GB vs ~112 GB for full bf16+AdamW FT.",stage3 senior math
"RLHF policy produces high-reward gibberish — diagnose/fix.","Reward hacking off the RM's distribution; raise KL coefficient, early stop, retrain/ensemble the RM with on-policy data, validate with humans.",stage3 senior
"Alignment pipeline with safety, no RL infra?","SFT (QLoRA) -> DPO/ORPO on preferences (KTO if only binary), scale feedback with RLAIF/Constitutional, red-team eval, iterate.",stage3 senior
"What is the alignment tax and how to measure/minimize?","Capability regression from alignment; measure aligned vs pre-aligned on a fixed suite; minimize with PEFT/low LR, data replay, smaller KL drift.",stage3 senior
"How to build a preference dataset; biases?","Pairwise human rankings with clear guidelines and agreement checks; control length, position, sycophancy bias; augment with calibrated RLAIF.",stage3 senior
"LoRA trainable params for a d x d matrix at rank r?","2 d r vs d^2; ratio 2r/d (e.g. d=4096, r=8 -> ~0.4%).",stage3 math
"Reward-model ranking loss (Bradley-Terry)?","-log sigmoid(r(x, y_w) - r(x, y_l)) — maximize probability the preferred response scores higher.",stage3 math
"DPO loss; role of beta and pi_ref?","-log sigmoid(beta[(log pi/pi_ref)_w - (log pi/pi_ref)_l]); pi_ref anchors the shift, beta controls preference strength vs drift.",stage3 math
"Memory: full FT vs LoRA vs QLoRA for 7B?","Full ~112 GB; LoRA ~15-16 GB (bf16 base, tiny adapter state); QLoRA ~5 GB (4-bit base). ~20x smaller than full.",stage3 math
"Implement SFT loss masking.","Set prompt and padding label positions to -100 so cross_entropy ignores them; only response tokens contribute gradient.",stage3 coding
"Implement a LoRA layer over a frozen nn.Linear.","Freeze base; add A (r x in, random) and B (out x r, zero); forward = base(x) + (alpha/r) (x A^T) B^T.",stage3 coding
"Implement the DPO loss from logprobs.","-logsigmoid(beta[(pol_chosen-pol_rej) - (ref_chosen-ref_rej)]).mean() using summed sequence logprobs.",stage3 coding
"Tokenize a multi-turn chat with role masking.","apply_chat_template, then set labels to -100 everywhere except assistant spans so only assistant tokens are supervised.",stage3 coding
"Merge LoRA back into base at correct scale.","W += (alpha/r) B @ A in no_grad; the alpha/r scale must match training, then serve a plain Linear.",stage3 coding
"Design a fine-tuning service.","Validate/dedup/PII-scan data, run managed QLoRA jobs, auto eval-gate vs base, store adapters and hot-swap onto a shared frozen base with versioning.",stage3 design
"Support 50 customer models cheaply — architecture?","One shared frozen base + 50 small LoRA adapters loaded dynamically (S-LoRA/punica style), cutting memory/cost ~50x.",stage3 design
"Build the human-feedback data flywheel.","Log prompts/responses + implicit signals (thumbs, edits, regens); mine preference pairs; SFT/DPO; eval-gate; ship; measure online; repeat.",stage3 design
"After SFT the model parrots the question — bug?","Prompt tokens weren't masked in the loss, so it learned to reproduce the input; mask them with -100.",stage3 debug
"After FT, lost general knowledge / repetitive — cause?","Catastrophic forgetting from high LR/too many epochs/full FT on narrow data; use PEFT, lower LR, fewer epochs, replay general data.",stage3 debug
"Garbled only in production — suspect?","Chat-template/special-token mismatch between train and serve; diff the rendered strings and use the exact same template/tokenizer.",stage3 debug
"DPO not improving win-rate — what to check?","beta tuning, correct reference model/logprobs, noisy or low-margin preference pairs, too few steps, length bias, or swapped chosen/rejected.",stage3 debug
"Intrinsic vs extrinsic evaluation?","Intrinsic measures a property in isolation (perplexity, accuracy); extrinsic measures real downstream task success — they often disagree.",stage4 fundamentals
"What does perplexity measure and its limits?","Average uncertainty on held-out text; only measures LM fit, isn't comparable across tokenizers, and ignores helpfulness/correctness/safety.",stage4 fundamentals
"What do BLEU/ROUGE measure and when mislead?","N-gram overlap with references; mislead on open-ended tasks where correct paraphrases score low and fluent-wrong text scores high.",stage4 fundamentals
"What is pass@k and why trustworthy?","Generate k samples, count solved if any passes the unit tests; trustworthy because the signal is objective and executable.",stage4 fundamentals
"Three benchmarks and what each tests?","MMLU (broad knowledge MCQ), HumanEval/MBPP (code via tests), GSM8K/MATH (multi-step math reasoning).",stage4 fundamentals
"What is benchmark contamination?","Test items (or near-duplicates) appear in training data, so the model memorized answers and scores overstate ability.",stage4 fundamentals
"What is LLM-as-a-judge?","Using a strong LLM to score/compare outputs against a rubric or pairwise; scalable but biased (position/length/self-preference).",stage4 fundamentals
"Why is human evaluation still needed?","For subjective/open-ended quality and safety, and as the ground truth that validates whether automatic metrics/judges are trustworthy.",stage4 fundamentals
"What is a hallucination as an eval problem?","Fluent, confident, unsupported output; hard to detect with surface metrics — needs faithfulness checks against sources.",stage4 fundamentals
"In RAG, what two things to evaluate separately?","Retrieval (recall@k, MRR, nDCG) and generation (faithfulness + answer relevance) — to localize the failing sub-system.",stage4 fundamentals
"Top MMLU yet fails in production — why?","Contamination, distribution/format shift, metric-goal mismatch (no multi-turn/tools/safety), and brittleness to messy phrasing.",stage4 core
"LLM-judge biases and a fix for each?","Position (swap+average), length (length-control), self-preference (different/ensemble judge), style (rubric scoring); validate vs humans.",stage4 core
"Detect train/benchmark contamination?","N-gram/MinHash overlap between items and corpus, plus behavioral tests (original vs perturbed equivalents) and canary strings.",stage4 core
"What is HELM's philosophy?","Holistic evaluation across many scenarios and dimensions (accuracy, robustness, bias, toxicity, efficiency, calibration), not one number.",stage4 core
"Why pairwise over absolute scoring?","Raters/judges are noisy on absolute scales but consistent at relative judgments; pairwise has higher agreement and aggregates via Elo.",stage4 core
"Retrieval vs generation quality in RAG?","Retrieval with gold labels (recall@k/MRR/nDCG); generation as faithfulness + answer-relevance given the retrieved context.",stage4 core
"What is calibration and why it matters?","Stated confidence matches empirical accuracy; matters because users/systems act on confidence; measured with ECE.",stage4 core
"Goodhart's law in eval?","When a measure becomes a target it stops being good — optimizing a benchmark/judge games it without real improvement.",stage4 core
"How report results honestly?","Confidence intervals, multiple seeds/decoding, significance tests, test-set size/provenance, contamination checks, and prompt details.",stage4 core
"Offline benchmarks vs online evals?","Offline: fast, reproducible, gate-able, but static/contamination-prone; online: real A/B product metrics, ground truth but slow/confounded.",stage4 core
"Eval a task with no ground-truth labels?","Rubric LLM-judge (order-swapped) + pairwise preference + reference-free metrics + human spot-checks; report judge-human agreement and CIs.",stage4 senior
"End-to-end eval before launching an assistant?","Capability benchmarks, faithfulness/hallucination, safety/red-team, robustness, latency/cost, A/B + online metrics, and a regression suite.",stage4 senior
"Offline up but users unhappy — what's wrong with eval?","Contamination, Goodhart/metric mismatch, distribution shift, prompt-format gap, stale/tiny test set, or judge bias; align eval to production + add online.",stage4 senior
"Validate and de-bias an LLM-judge for a leaderboard?","Swap order, length-control, ensemble/different family, calibrate vs human labels (kappa), report CIs, and audit fixed prompts.",stage4 senior
"Contamination-resistant eval program?","Private held-out and time-split/fresh sets, rotating benchmarks, canaries, n-gram/MinHash scans, and separating eval curators from data curators.",stage4 senior
"Evaluate RAG to localize failures?","Score retrieval and generation independently and build an attribution matrix: retrieval miss vs unfaithful generation vs both.",stage4 senior
"Statistically decide A beats B?","Paired test (McNemar/paired bootstrap), report CI and effect size, check power/sample size, and correct for multiple comparisons.",stage4 senior
"Critique a popular benchmark (e.g. MMLU)?","MCQ rewards recognition, contamination-prone, some mislabeled items, static knowledge, format-sensitive — says little about real-task success.",stage4 senior
"precision@k, recall@k, MRR, nDCG — when?","precision@k clean top; recall@k found-all (RAG); MRR rank of first relevant (one answer); nDCG graded relevance with order.",stage4 stats
"Compute a bootstrap CI for accuracy?","Resample per-item correctness with replacement n times, recompute accuracy, repeat ~10k times, take 2.5/97.5 percentiles.",stage4 stats
"71% vs 73% on 500 items — significant?","SE ~ sqrt(p(1-p)/n) ~ 2%, so 2 points is ~1 SE — not significant; use a paired test (McNemar/bootstrap).",stage4 stats
"Unbiased pass@k from n>k samples?","pass@k = 1 - C(n-c,k)/C(n,k): one minus the chance a random size-k subset contains no passing sample (hypergeometric).",stage4 stats
"Implement a pairwise judge controlling position bias.","Ask both orders (A,B) and (B,A), average; count a win only if consistent across both, else tie.",stage4 coding
"Implement pass@k estimation.","pass@k = 1 - comb(n-c,k)/comb(n,k); score each problem by counting samples that pass all unit tests.",stage4 coding
"Implement an n-gram overlap contamination scanner.","Build the set of training n-grams; for each benchmark item, flag items whose n-grams intersect (hash/MinHash at scale).",stage4 coding
"Implement recall@k and MRR.","recall@k = |top-k ∩ gold| / |gold|; MRR = 1/rank of the first retrieved gold doc (0 if none).",stage4 coding
"Implement bootstrap resampling for a CI.","Resample indices with replacement, recompute the metric B times, return the metric plus its percentile interval.",stage4 coding
"Design continuous eval on live traffic with drift alerts.","Sample privacy-safe traffic, run automatic evals on a schedule, track metrics with drift detection, alert on degradation, human-validate judges.",stage4 design
"Eval harness a 50-person team can extend?","Plugin registry for tasks/datasets/metrics/judges, standard interfaces, versioned data + seeds, CI regression suite, ownership per task.",stage4 design
"Produce a trustworthy internal leaderboard?","Mixed private/rotating datasets, validated/calibrated judges + human eval, contamination policy, report CIs, refresh cadence, published methodology.",stage4 design
"Same model, different scores on equivalent prompts?","Prompt-format sensitivity; standardize prompts, report across formats (mean±variance), test few-shot stability, treat swings as a robustness issue.",stage4 debug
"Judge always prefers the longer answer — fix?","Verbosity bias; instruct it to ignore length, length-control/normalize, or match length in pairs; validate vs humans.",stage4 debug
"Suspiciously high scores after a data refresh?","First hypothesis is contamination; run overlap scans against eval sets and compare to fresh equivalents before trusting gains.",stage4 debug
"A/B shows no difference but you know it's better?","Underpowered test, wrong/insensitive metric, segment/heterogeneous effects, or confounds (novelty, latency); add power, better metric, segment analysis.",stage4 debug
"Two phases of autoregressive generation?","Prefill (process the whole prompt in parallel, fills the KV cache) then decode (one token at a time using the cache).",stage5 fundamentals
"What is the KV cache and why?","Stores past keys/values so each decode step reuses them instead of recomputing — turns per-step cost from O(T^2) to O(T).",stage5 fundamentals
"Greedy vs sampling vs beam search?","Greedy takes the argmax (repetitive); sampling draws from the distribution (diverse); beam keeps top-b sequences (good for MT, weak for open-ended).",stage5 fundamentals
"What do temperature, top-k, top-p control?","Temperature sharpens/flattens logits; top-k keeps the k most likely; top-p keeps the smallest set summing to p (nucleus).",stage5 fundamentals
"What is quantization and why faster?","Store weights/activations in fewer bits (int8/int4); decode is memory-bound, so moving fewer bytes from HBM speeds it up.",stage5 fundamentals
"What is FlashAttention solving?","Standard attention writes the T x T scores to HBM; FlashAttention tiles and computes softmax online in SRAM — same math, far fewer memory reads/writes.",stage5 fundamentals
"What is continuous (in-flight) batching?","Schedule at token granularity: finished sequences leave and new ones join each step, keeping the GPU busy instead of waiting for the slowest.",stage5 fundamentals
"What is speculative decoding?","A small draft model proposes several tokens; the big model verifies them in one pass and accepts a prefix — fewer big-model steps, identical distribution.",stage5 fundamentals
