#separator:Comma
#html:false
#notetype:Basic
#deck:Agentic AI Interview
#columns:Front,Back,Tags
#tags column:3
"Network/peer-to-peer topology?","Agents hand off many-to-many; most flexible but hardest to control. Usually constrained by a routing policy.","multiagent"
"Handoff/swarm pattern — where ideal?","Control transfers between agents; one active at a time. Ideal for routing/customer support (triage -> specialist).","multiagent"
"Group chat / debate pattern?","Agents share a conversation; a manager or round-robin picks the speaker. Debate improves reasoning/factuality at high token cost.","multiagent"
"Blackboard pattern?","Agents read/write a shared workspace; a controller selects who acts. Good for opportunistic, loosely-coupled collaboration with a single source of truth.","multiagent"
"How do agents communicate?","Shared history, direct handoffs, shared state/blackboard, or structured artifacts. Biggest cost mistake: passing full transcripts everywhere — pass distilled artifacts.","multiagent"
"MCP vs. A2A?","MCP = agent-to-tools/data (vertical). A2A = agent-to-agent task delegation across vendors via Agent Cards over HTTP (horizontal).","multiagent"
"Failure modes of multi-agent systems?","Cascading errors, deadlock, context fragmentation, cost explosion, duplicate/conflicting work, lost-in-translation handoffs, hard failure localization.","multiagent"
"Why can multi-agent use ~15× more tokens?","Repeated per-agent context, inter-agent chatter, parallel consumption, and orchestration calls. Justify with value; set per-agent budgets.","multiagent"
"Generator + critic pattern?","One agent produces, another reviews against a rubric, loop until approved — reliably improves quality (a.k.a. actor-critic / evaluator-optimizer).","multiagent"
"LangGraph mental model?","Agent system as a stateful graph: nodes (functions/agents) + conditional edges over typed shared state. Supports cycles, persistence, HITL. Best for controllable production flows.","frameworks"
"AutoGen mental model?","Conversable agents, often in a group chat with a manager selecting speakers; strong code execution. Best for collaborative, exploratory multi-agent tasks.","frameworks"
"CrewAI mental model?","Role/goal/backstory agents + tasks + a process (sequential/hierarchical). Opinionated and readable; fast role-based teams.","frameworks"
"OpenAI Agents SDK (ex-Swarm)?","Lightweight agents + handoffs + guardrails + sessions + tracing. Best for simple multi-agent routing on the OpenAI stack.","frameworks"
"Semantic Kernel?","Microsoft enterprise SDK (C#/Java/Python): plugins/skills + planners + memory + agent/process frameworks. For enterprise governance and integration.","frameworks"
"LlamaIndex?","Data/RAG-first: best-in-class ingestion/indexing/retrieval plus agents and event-driven workflows. Use when knowledge/RAG is the core.","frameworks"
"When to use NO framework?","For a simple tool-calling agent — a ~50-line loop over the function-calling API is transparent and avoids lock-in. Add a framework for state/HITL/orchestration needs.","frameworks"
"How do MCP + A2A let you mix frameworks?","They standardize the tool interface (MCP) and agent interface (A2A), so e.g. a CrewAI crew can call MCP tools and delegate to a LangGraph agent over A2A.","frameworks"
"System-design framework (A-G-E-N-T-S)?","Align on requirements, Ground rules/risk, Establish approach (simplest), Nodes/components, Tools/memory/context, Safeguards/eval/scale — then trade-offs + MVP.","sysdesign"
"First questions in an agent design interview?","Goal/scope, users/volume, success metrics, latency/cost budget, error cost/reversibility, data/privacy, autonomy/HITL, integrations.","sysdesign"
"Design pattern for customer support?","Router + handoff specialists, RAG KB with citations, per-user memory, confirmation+authz on destructive tools, HITL escalation, eval + tracing. MVP = FAQ RAG + human handoff.","sysdesign"
"Design pattern for deep research?","Orchestrator-worker with parallel isolated researchers, a verify/citation agent, a writer synthesizer, budgets, factuality eval, and untrusted-web-content handling.","sysdesign"
"Design pattern for a coding agent?","Single-threaded ReAct + reflection on test failures, sandboxed tools, tests as success signal, optional reviewer on the diff, HITL on the PR, SWE-bench-style eval.","sysdesign"
"Fix: a 3-minute agent task blocks the request?","Make it async: queue + worker pool + status/streaming; checkpoint trajectories so long runs can resume.","sysdesign"
"Model strategy for cost?","Tiered routing: cheap model for routing/simple steps, frontier model for hard reasoning; caching; consider distillation for high-volume routine steps. Track $/task.","sysdesign"
"Where to put determinism?","Non-LLM logic — validation, routing rules, math, schema enforcement — in code, not the model. Cheaper, faster, testable.","sysdesign"
"How do you evaluate an agent?","Outcome (task success) + trajectory (right tools/order, no loops). LLM-as-judge + programmatic checks + human calibration; offline regression set + online A/B; build evals from real failures.","production"
"Outcome vs. trajectory eval?","Outcome = was the final result correct/good. Trajectory = was the process sound (right tools, order, no wasted steps/loops).","production"
"LLM-as-judge pros/cons?","Pro: scalable, handles nuance. Cons: position, verbosity, and self-preference bias. Validate vs. humans, use rubrics and pairwise comparisons, randomize order.","production"
"Name agent benchmarks.","tau-bench/tau2-bench, SWE-bench, WebArena, GAIA, AgentBench, BFCL (function calling), RAGAS (RAG).","production"
"What do you trace/observe?","Every LLM call (prompt/completion/tokens/cost/latency), every tool call (args/result/error/duration), the full path, and per-agent attribution. Tools: LangSmith/Langfuse/Phoenix + OpenTelemetry.","production"
"How to stop an agent looping forever?","Max steps, token/cost budget, timeout, repeated-action detection, surface tool errors into context, a terminate tool, then graceful degradation.","production"
"Cut agent cost without hurting quality?","Model routing, caching (prompt/semantic/tool), cap steps/tokens, compact context, trim tool outputs, parallelize, stream; track $/task.","production"
"Three layers of guardrails?","Input (injection/PII/policy), output (schema/safety/grounding/action-authz), behavioral (budgets/limits/HITL). Enforce in code, not just the prompt.","production"
"Where do humans go in the loop?","Approve/reject before irreversible actions, edit plan/output, escalate on low confidence/repeated failure, and capture feedback for eval.","production"
"CI/CD for a prompt change?","Version prompts/tools/models; run the offline eval set in CI and block regressions; canary/A-B; fast rollback; mine failures back into evals.","production"
"Why are agents non-reproducible, and how to cope?","Stochastic sampling + multi-step divergence. Lower temperature/seed where possible, deterministic code paths, full tracing, and evaluate over distributions not single runs.","production"
"RAG hallucinates despite retrieval — debug?","Localize: check retrieval (precision/recall) -> fix chunking/hybrid/rerank; if retrieval is fine, fix generation -> answer-only-from-context prompt, faithfulness guardrail, citations, lower temperature.","production"
"Prompt injection: direct vs. indirect?","Direct = malicious instructions typed by the user. Indirect = instructions hidden in retrieved/tool content (web page, email, doc) that hijack the agent — the signature agent threat.","security"
"Defenses against prompt injection?","Treat external content as untrusted; separate instructions from data; filter inputs; least-privilege tools/scoped creds; validate/HITL before destructive or exfil actions; break the lethal trifecta.","security"
"What is excessive agency?","An agent with more permission/functionality/autonomy than it needs, so a failure can do real damage. Mitigate with least privilege, allow-lists, scoped creds, confirmation/HITL.","security"
"What is the lethal trifecta?","Private data + untrusted content + outbound communication. With all three, an injection can exfiltrate. Break at least one leg.","security"
"What is insecure output handling?","Trusting LLM output that flows into downstream systems (SQL/shell/code). Validate/sanitize, parameterize queries, never eval raw, sandbox generated code.","security"
"Name key OWASP LLM risks for agents.","Prompt injection, excessive agency, sensitive info disclosure, insecure output handling, supply chain (tools/MCP), data poisoning, unbounded consumption.","security"
"How to roll out a risky agent safely?","Shadow mode -> human-in-the-loop -> canary % -> full, with success metrics, guardrail thresholds, and instant rollback at each gate.","security"
"Temperature/top-p effect on agents?","Higher = more exploration/variance (risk of bad tool args). Use low temperature for tool selection/argument generation; raise only where exploration helps.","ml-foundations"
"What do structured outputs / JSON mode give you?","Constrained decoding guarantees schema-valid output, making tool arguments and parsing reliable and eliminating a class of parse-retry failures.","ml-foundations"
"Fine-tuning vs. RAG vs. prompting for domain knowledge?","Prompting steers behavior fast. RAG injects fresh/private facts with citations. Fine-tuning bakes in behavior/style/format (not fresh facts). Often combined.","ml-foundations"
"What is distillation and why for agents?","Train a smaller student model on a stronger teacher's outputs/traces to cut cost/latency for routine steps; pair with model routing.","ml-foundations"
"What are embeddings and why do agents need them?","Dense vectors where semantic similarity = geometric closeness. Backbone of retrieval and episodic memory (RAG).","ml-foundations"
"Why do errors compound in agents?","Each step conditions on prior state; success ~ p^n over n steps, so per-step errors multiply. Fix with short trajectories, checks, recovery/reflection, and grounding.","ml-foundations"
